Symbol,Signal,RSI,Entry Time,Logged At,Reason,Outcome,RSI_Value,ADX_Value,Stochastic_Value,MACD_Value,Signal_Value,ATR_Value,Entry_Price,Exit_Price,Breakeven_Probability
AUDUSD,WAIT,47.85,09:13:37,2025-08-01 08:13:37,"RSI: 47.85, ADX: 17.89, Stochastic: 48.22, MACD: -0.0001, Signal: -0.0001, ATR: 0.0002, BB_Width: 0.0013, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=42.00, RSI_SELL=53.20, MIN_ADX=25.00, BB_WIDTH_MIN=0.0010, MIN_ATR=0.0001; ADX слишком низкий (< 25)",PENDING,47.85356585555819,17.88953390630605,48.22415815044396,-0.00012473874876639535,-0.0001496771526961817,0.00021484216465861034,0.6432108879089355,0.0,0.0
EURJPY,BUY (Adaptive),36.87,09:15:07,2025-08-01 08:13:39,RSI перепродан; Stochastic перепродан; Цена ниже Bollinger; Бычий тренд на H1; ,PENDING,36.868662490923924,28.977201608376884,11.269559427366552,-0.054163519036620755,-0.034813125051904814,0.06905610573665281,171.83099365234375,0.0,43.67
CHFJPY,BUY (Adaptive),23.51,09:15:09,2025-08-01 08:13:42,RSI перепродан; Stochastic перепродан; Цена ниже Bollinger; Бычий тренд на H1; ,PENDING,23.509390733764363,32.07411391275575,2.534205829863177,-0.11554738697054745,-0.06672613256958684,0.08443501194429981,184.52999877929688,0.0,40.48
CADJPY,BUY (Adaptive),36.95,09:15:12,2025-08-01 08:13:45,Цена ниже Bollinger; Бычий тренд на H1; ,PENDING,36.94925025558565,34.73719442160523,27.057714747329683,-0.03473775942107693,-0.033520827525685574,0.052159977830152505,108.50399780273438,0.0,44.21
EURJPY,WAIT,59.67,13:27:59,2025-08-03 12:27:59,"RSI: 59.67, ADX: 21.10, Stochastic: 57.32, MACD: 0.0588, Signal: 0.0614, ATR: 0.0584, BB_Width: 0.0021, Fractal: None, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=36.65, RSI_SELL=62.44, MIN_ADX=25.88, BB_WIDTH_MIN=0.0013, MIN_ATR=0.0407; ADX слишком низкий (< 25.883905775050614)",PENDING,59.67273893228294,21.099268754250595,57.31919116734896,0.058827039091539746,0.06135943698615123,0.05844295460472677,170.79800415039062,0.0,0.0
CHFJPY,WAIT,63.15,13:28:17,2025-08-03 12:28:17,"RSI: 63.15, ADX: 24.46, Stochastic: 73.68, MACD: 0.0579, Signal: 0.0522, ATR: 0.0615, BB_Width: 0.0021, Fractal: None, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=31.94, RSI_SELL=60.01, MIN_ADX=26.20, BB_WIDTH_MIN=0.0010, MIN_ATR=0.0414; ADX слишком низкий (< 26.199202250553316)",PENDING,63.149134870949844,24.46026176175835,73.68368217637907,0.057905092602254626,0.0522053679633543,0.06152685538112751,183.3489990234375,0.0,0.0
USDCAD,WAIT,43.93,13:28:25,2025-08-03 12:28:25,"RSI: 43.93, ADX: 22.34, Stochastic: 49.12, MACD: -0.0004, Signal: -0.0004, ATR: 0.0009, BB_Width: 0.0016, Fractal: BEARISH, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=41.11, RSI_SELL=58.94, MIN_ADX=25.00, BB_WIDTH_MIN=0.0010, MIN_ATR=0.0005; ADX слишком низкий (< 25)",PENDING,43.93039194272087,22.34172775062081,49.12163292621717,-0.00041096442043775383,-0.0004279183699883072,0.0009401730884415687,1.3782999515533447,0.0,0.0
CADJPY,WAIT,44.09,13:28:33,2025-08-03 12:28:33,"RSI: 44.09, ADX: 22.73, Stochastic: 39.77, MACD: -0.0204, Signal: -0.0277, ATR: 0.0417, BB_Width: 0.0011, Fractal: None, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=30.00, RSI_SELL=43.47, MIN_ADX=32.61, BB_WIDTH_MIN=0.0012, MIN_ATR=0.0298; ADX слишком низкий (< 32.614538862345384)",PENDING,44.0871964938657,22.725134919623773,39.76709945121135,-0.020383870581625274,-0.02774819946207376,0.04171330081012934,106.9010009765625,0.0,0.0
GBPUSD,WAIT,55.42,13:28:41,2025-08-03 12:28:41,"RSI: 55.42, ADX: 22.64, Stochastic: 0.00, MACD: 0.0006, Signal: 0.0008, ATR: 0.0004, BB_Width: 0.0018, Fractal: None, Trend H1: BULLISH; Адаптивные пороги: RSI_BUY=41.96, RSI_SELL=66.36, MIN_ADX=25.00, BB_WIDTH_MIN=0.0018, MIN_ATR=0.0003; ADX слишком низкий (< 25)",PENDING,55.42349079606994,22.637669116846773,0.0,0.0005672481727125867,0.0007747844795426904,0.00042877640003861727,1.327386736869812,0.0,0.0
EURJPY,WAIT,59.67,13:33:45,2025-08-03 12:33:45,"RSI: 59.67, ADX: 21.10, Stochastic: 57.32, MACD: 0.0588, Signal: 0.0614, ATR: 0.0584, BB_Width: 0.0021, Fractal: None, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=36.65, RSI_SELL=62.44, MIN_ADX=25.88, BB_WIDTH_MIN=0.0013, MIN_ATR=0.0407; ADX слишком низкий (< 25.883905775050614)",PENDING,59.67273893228294,21.099268754250595,57.31919116734896,0.058827039091539746,0.06135943698615123,0.05844295460472677,170.79800415039062,0.0,0.0
